StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2020-12-29T08:00:00Z,2020-12-29T08:00:00Z,4894,,CFS
DTO,D,23,OUTFLOW,2020-12-30T08:00:00Z,2020-12-30T08:00:00Z,5939,,CFS
DTO,D,23,OUTFLOW,2020-12-31T08:00:00Z,2020-12-31T08:00:00Z,5990,,CFS
DTO,D,23,OUTFLOW,2021-01-01T08:00:00Z,2021-01-01T08:00:00Z,6060,,CFS
DTO,D,23,OUTFLOW,2021-01-02T08:00:00Z,2021-01-02T08:00:00Z,6092,,CFS
DTO,D,23,OUTFLOW,2021-01-03T08:00:00Z,2021-01-03T08:00:00Z,6035,,CFS
DTO,D,23,OUTFLOW,2021-01-04T08:00:00Z,2021-01-04T08:00:00Z,5399,,CFS
DTO,D,23,OUTFLOW,2021-01-05T08:00:00Z,2021-01-05T08:00:00Z,5357,,CFS
DTO,D,23,OUTFLOW,2021-01-06T08:00:00Z,2021-01-06T08:00:00Z,5773,,CFS
DTO,D,23,OUTFLOW,2021-01-07T08:00:00Z,2021-01-07T08:00:00Z,5367,,CFS
DTO,D,23,OUTFLOW,2021-01-08T08:00:00Z,2021-01-08T08:00:00Z,5095,,CFS
DTO,D,23,OUTFLOW,2021-01-09T08:00:00Z,2021-01-09T08:00:00Z,5339,,CFS
DTO,D,23,OUTFLOW,2021-01-10T08:00:00Z,2021-01-10T08:00:00Z,5469,,CFS
DTO,D,23,OUTFLOW,2021-01-11T08:00:00Z,2021-01-11T08:00:00Z,5140,,CFS
DTO,D,23,OUTFLOW,2021-01-12T08:00:00Z,2021-01-12T08:00:00Z,6274,,CFS
DTO,D,23,OUTFLOW,2021-01-13T08:00:00Z,2021-01-13T08:00:00Z,6225,,CFS
DTO,D,23,OUTFLOW,2021-01-14T08:00:00Z,2021-01-14T08:00:00Z,6354,,CFS
DTO,D,23,OUTFLOW,2021-01-15T08:00:00Z,2021-01-15T08:00:00Z,6435,,CFS
DTO,D,23,OUTFLOW,2021-01-16T08:00:00Z,2021-01-16T08:00:00Z,5960,,CFS
DTO,D,23,OUTFLOW,2021-01-17T08:00:00Z,2021-01-17T08:00:00Z,5976,,CFS
DTO,D,23,OUTFLOW,2021-01-18T08:00:00Z,2021-01-18T08:00:00Z,6358,,CFS
DTO,D,23,OUTFLOW,2021-01-19T08:00:00Z,2021-01-19T08:00:00Z,6629,,CFS
DTO,D,23,OUTFLOW,2021-01-20T08:00:00Z,2021-01-20T08:00:00Z,5497,,CFS
DTO,D,23,OUTFLOW,2021-01-21T08:00:00Z,2021-01-21T08:00:00Z,4588,,CFS
DTO,D,23,OUTFLOW,2021-01-22T08:00:00Z,2021-01-22T08:00:00Z,4666,,CFS
DTO,D,23,OUTFLOW,2021-01-23T08:00:00Z,2021-01-23T08:00:00Z,5038,,CFS
DTO,D,23,OUTFLOW,2021-01-24T08:00:00Z,2021-01-24T08:00:00Z,5345,,CFS
DTO,D,23,OUTFLOW,2021-01-25T08:00:00Z,2021-01-25T08:00:00Z,5613,,CFS
DTO,D,23,OUTFLOW,2021-01-26T08:00:00Z,2021-01-26T08:00:00Z,6211,,CFS
DTO,D,23,OUTFLOW,2021-01-27T08:00:00Z,2021-01-27T08:00:00Z,6020,,CFS
DTO,D,23,OUTFLOW,2021-01-28T08:00:00Z,2021-01-28T08:00:00Z,14010,,CFS
DTO,D,23,OUTFLOW,2021-01-29T08:00:00Z,2021-01-29T08:00:00Z,24983,,CFS
DTO,D,23,OUTFLOW,2021-01-30T08:00:00Z,2021-01-30T08:00:00Z,27071,,CFS
DTO,D,23,OUTFLOW,2021-01-31T08:00:00Z,2021-01-31T08:00:00Z,29327,,CFS
DTO,D,23,OUTFLOW,2021-02-01T08:00:00Z,2021-02-01T08:00:00Z,30375,,CFS
DTO,D,23,OUTFLOW,2021-02-02T08:00:00Z,2021-02-02T08:00:00Z,21687,,CFS
DTO,D,23,OUTFLOW,2021-02-03T08:00:00Z,2021-02-03T08:00:00Z,14269,,CFS
DTO,D,23,OUTFLOW,2021-02-04T08:00:00Z,2021-02-04T08:00:00Z,12735,,CFS
DTO,D,23,OUTFLOW,2021-02-05T08:00:00Z,2021-02-05T08:00:00Z,13283,,CFS
DTO,D,23,OUTFLOW,2021-02-06T08:00:00Z,2021-02-06T08:00:00Z,14483,,CFS
DTO,D,23,OUTFLOW,2021-02-07T08:00:00Z,2021-02-07T08:00:00Z,13621,,CFS
DTO,D,23,OUTFLOW,2021-02-08T08:00:00Z,2021-02-08T08:00:00Z,9669,,CFS
DTO,D,23,OUTFLOW,2021-02-09T08:00:00Z,2021-02-09T08:00:00Z,6503,,CFS
DTO,D,23,OUTFLOW,2021-02-10T08:00:00Z,2021-02-10T08:00:00Z,7736,,CFS
DTO,D,23,OUTFLOW,2021-02-11T08:00:00Z,2021-02-11T08:00:00Z,7588,,CFS
