STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DTO,D,23,OUTFLOW,,20210219,"8,103",,CFS
DTO,D,23,OUTFLOW,,20210220,"7,301",,CFS
DTO,D,23,OUTFLOW,,20210221,"6,687",,CFS
DTO,D,23,OUTFLOW,,20210222,"7,418",,CFS
DTO,D,23,OUTFLOW,,20210223,"7,348",,CFS
DTO,D,23,OUTFLOW,,20210224,"7,268",,CFS
DTO,D,23,OUTFLOW,,20210225,"7,572",,CFS
DTO,D,23,OUTFLOW,,20210226,"6,685",,CFS
DTO,D,23,OUTFLOW,,20210227,"7,322",,CFS
DTO,D,23,OUTFLOW,,20210228,"7,874",,CFS
DTO,D,23,OUTFLOW,,20210301,"6,933",,CFS
DTO,D,23,OUTFLOW,,20210302,"7,265",,CFS
DTO,D,23,OUTFLOW,,20210303,"7,142",,CFS
DTO,D,23,OUTFLOW,,20210304,"7,065",,CFS
DTO,D,23,OUTFLOW,,20210305,"7,627",,CFS
DTO,D,23,OUTFLOW,,20210306,"6,894",,CFS
DTO,D,23,OUTFLOW,,20210307,"7,485",,CFS
DTO,D,23,OUTFLOW,,20210308,"7,256",,CFS
DTO,D,23,OUTFLOW,,20210309,"7,155",,CFS
DTO,D,23,OUTFLOW,,20210310,"8,435",,CFS
DTO,D,23,OUTFLOW,,20210311,"9,222",,CFS
DTO,D,23,OUTFLOW,,20210312,"11,092",,CFS
DTO,D,23,OUTFLOW,,20210313,"12,303",,CFS
DTO,D,23,OUTFLOW,,20210314,"12,308",,CFS
DTO,D,23,OUTFLOW,,20210315,"10,051",,CFS
DTO,D,23,OUTFLOW,,20210316,"7,444",,CFS
DTO,D,23,OUTFLOW,,20210317,"7,261",,CFS
DTO,D,23,OUTFLOW,,20210318,"7,375",,CFS
DTO,D,23,OUTFLOW,,20210319,"11,139",,CFS
DTO,D,23,OUTFLOW,,20210320,"12,553",,CFS
DTO,D,23,OUTFLOW,,20210321,"12,664",,CFS
DTO,D,23,OUTFLOW,,20210322,"13,195",,CFS
DTO,D,23,OUTFLOW,,20210323,"13,599",,CFS
DTO,D,23,OUTFLOW,,20210324,"11,227",,CFS
DTO,D,23,OUTFLOW,,20210325,"9,305",,CFS
DTO,D,23,OUTFLOW,,20210326,"8,342",,CFS
DTO,D,23,OUTFLOW,,20210327,"8,167",,CFS
DTO,D,23,OUTFLOW,,20210328,"7,783",,CFS
DTO,D,23,OUTFLOW,,20210329,"7,418",,CFS
DTO,D,23,OUTFLOW,,20210330,"7,073",,CFS
DTO,D,23,OUTFLOW,,20210331,"7,097",,CFS
DTO,D,23,OUTFLOW,,20210401,"7,358",,CFS
DTO,D,23,OUTFLOW,,20210402,"7,181",,CFS
DTO,D,23,OUTFLOW,,20210403,"7,136",,CFS
DTO,D,23,OUTFLOW,,20210404,"7,285",,CFS
DTO,D,23,OUTFLOW,,20210405,"7,136",,CFS
DTO,D,23,OUTFLOW,,20210406,"7,155",,CFS
DTO,D,23,OUTFLOW,,20210407,"7,392",,CFS
DTO,D,23,OUTFLOW,,20210408,"6,952",,CFS
DTO,D,23,OUTFLOW,,20210409,"7,258",,CFS
DTO,D,23,OUTFLOW,,20210410,"7,106",,CFS
DTO,D,23,OUTFLOW,,20210411,"7,287",,CFS
DTO,D,23,OUTFLOW,,20210412,"7,208",,CFS
DTO,D,23,OUTFLOW,,20210413,"7,157",,CFS
DTO,D,23,OUTFLOW,,20210414,"7,260",,CFS
DTO,D,23,OUTFLOW,,20210415,"7,354",,CFS
DTO,D,23,OUTFLOW,,20210416,"6,958",,CFS
DTO,D,23,OUTFLOW,,20210417,"6,821",,CFS
DTO,D,23,OUTFLOW,,20210418,"7,484",,CFS
DTO,D,23,OUTFLOW,,20210419,"6,691",,CFS
DTO,D,23,OUTFLOW,,20210420,"5,931",,CFS
DTO,D,23,OUTFLOW,,20210421,"6,236",,CFS
DTO,D,23,OUTFLOW,,20210422,"6,284",,CFS
DTO,D,23,OUTFLOW,,20210423,"5,763",,CFS
DTO,D,23,OUTFLOW,,20210424,"5,931",,CFS
DTO,D,23,OUTFLOW,,20210425,"5,715",,CFS
DTO,D,23,OUTFLOW,,20210426,"5,768",,CFS
DTO,D,23,OUTFLOW,,20210427,"5,648",,CFS
DTO,D,23,OUTFLOW,,20210428,"5,468",,CFS
DTO,D,23,OUTFLOW,,20210429,"5,721",,CFS
DTO,D,23,OUTFLOW,,20210430,"5,320",,CFS
DTO,D,23,OUTFLOW,,20210501,"4,167",,CFS
DTO,D,23,OUTFLOW,,20210502,"3,768",,CFS
DTO,D,23,OUTFLOW,,20210503,"4,027",,CFS
DTO,D,23,OUTFLOW,,20210504,"3,963",,CFS
DTO,D,23,OUTFLOW,,20210505,"3,529",,CFS
DTO,D,23,OUTFLOW,,20210506,"3,232",,CFS
DTO,D,23,OUTFLOW,,20210507,"2,959",,CFS
DTO,D,23,OUTFLOW,,20210508,"3,683",,CFS
DTO,D,23,OUTFLOW,,20210509,"4,013",,CFS
DTO,D,23,OUTFLOW,,20210510,"4,073",,CFS
DTO,D,23,OUTFLOW,,20210511,"5,676",,CFS
DTO,D,23,OUTFLOW,,20210512,"5,612",,CFS
DTO,D,23,OUTFLOW,,20210513,"5,551",,CFS
DTO,D,23,OUTFLOW,,20210514,"5,756",,CFS
DTO,D,23,OUTFLOW,,20210515,"6,065",,CFS
DTO,D,23,OUTFLOW,,20210516,"6,228",,CFS
DTO,D,23,OUTFLOW,,20210517,"5,385",,CFS
DTO,D,23,OUTFLOW,,20210518,"5,769",,CFS
DTO,D,23,OUTFLOW,,20210519,"5,549",,CFS
DTO,D,23,OUTFLOW,,20210520,"5,422",,CFS
DTO,D,23,OUTFLOW,,20210521,"6,244",,CFS
DTO,D,23,OUTFLOW,,20210522,"5,769",,CFS
DTO,D,23,OUTFLOW,,20210523,"5,674",,CFS
DTO,D,23,OUTFLOW,,20210524,"6,056",,CFS
DTO,D,23,OUTFLOW,,20210525,"6,080",,CFS
DTO,D,23,OUTFLOW,,20210526,"5,846",,CFS
DTO,D,23,OUTFLOW,,20210527,"5,367",,CFS
DTO,D,23,OUTFLOW,,20210528,"4,883",,CFS
DTO,D,23,OUTFLOW,,20210529,"4,629",,CFS
DTO,D,23,OUTFLOW,,20210530,"4,021",,CFS
DTO,D,23,OUTFLOW,,20210531,"3,708",,CFS
DTO,D,23,OUTFLOW,,20210601,"3,206",,CFS
DTO,D,23,OUTFLOW,,20210602,"2,355",,CFS
DTO,D,23,OUTFLOW,,20210603,"2,302",,CFS
DTO,D,23,OUTFLOW,,20210604,"2,220",,CFS
DTO,D,23,OUTFLOW,,20210605,"2,325",,CFS
DTO,D,23,OUTFLOW,,20210606,"2,907",,CFS
DTO,D,23,OUTFLOW,,20210607,"2,564",,CFS
DTO,D,23,OUTFLOW,,20210608,"2,632",,CFS
DTO,D,23,OUTFLOW,,20210609,"3,174",,CFS
DTO,D,23,OUTFLOW,,20210610,"3,392",,CFS
DTO,D,23,OUTFLOW,,20210611,"4,260",,CFS
DTO,D,23,OUTFLOW,,20210612,"3,915",,CFS
DTO,D,23,OUTFLOW,,20210613,"3,906",,CFS
DTO,D,23,OUTFLOW,,20210614,"3,675",,CFS
DTO,D,23,OUTFLOW,,20210615,"3,566",,CFS
DTO,D,23,OUTFLOW,,20210616,"3,537",,CFS
DTO,D,23,OUTFLOW,,20210617,"3,500",,CFS
DTO,D,23,OUTFLOW,,20210618,"3,007",,CFS
DTO,D,23,OUTFLOW,,20210619,"2,937",,CFS
DTO,D,23,OUTFLOW,,20210620,"3,055",,CFS
DTO,D,23,OUTFLOW,,20210621,"3,475",,CFS
DTO,D,23,OUTFLOW,,20210622,"3,290",,CFS
DTO,D,23,OUTFLOW,,20210623,"3,656",,CFS
DTO,D,23,OUTFLOW,,20210624,"3,681",,CFS
DTO,D,23,OUTFLOW,,20210625,"3,583",,CFS
DTO,D,23,OUTFLOW,,20210626,"3,534",,CFS
DTO,D,23,OUTFLOW,,20210627,"3,825",,CFS
DTO,D,23,OUTFLOW,,20210628,"3,671",,CFS
DTO,D,23,OUTFLOW,,20210629,"3,300",,CFS
DTO,D,23,OUTFLOW,,20210630,"2,823",,CFS
DTO,D,23,OUTFLOW,,20210701,"2,747",,CFS
DTO,D,23,OUTFLOW,,20210702,"2,064",,CFS
DTO,D,23,OUTFLOW,,20210703,"3,043",,CFS
DTO,D,23,OUTFLOW,,20210704,"2,720",,CFS
DTO,D,23,OUTFLOW,,20210705,"2,848",,CFS
DTO,D,23,OUTFLOW,,20210706,"3,461",,CFS
DTO,D,23,OUTFLOW,,20210707,"3,493",,CFS
DTO,D,23,OUTFLOW,,20210708,"3,874",,CFS
DTO,D,23,OUTFLOW,,20210709,"4,140",,CFS
DTO,D,23,OUTFLOW,,20210710,"3,798",,CFS
DTO,D,23,OUTFLOW,,20210711,"3,649",,CFS
DTO,D,23,OUTFLOW,,20210712,"3,458",,CFS
DTO,D,23,OUTFLOW,,20210713,"3,740",,CFS
DTO,D,23,OUTFLOW,,20210714,"3,298",,CFS
DTO,D,23,OUTFLOW,,20210715,"3,367",,CFS
DTO,D,23,OUTFLOW,,20210716,"3,006",,CFS
DTO,D,23,OUTFLOW,,20210717,"3,155",,CFS
DTO,D,23,OUTFLOW,,20210718,"3,152",,CFS
DTO,D,23,OUTFLOW,,20210719,"3,389",,CFS
DTO,D,23,OUTFLOW,,20210720,"3,476",,CFS
DTO,D,23,OUTFLOW,,20210721,"3,496",,CFS
DTO,D,23,OUTFLOW,,20210722,"-3,957",,CFS
DTO,D,23,OUTFLOW,,20210723,"-5,270",,CFS
DTO,D,23,OUTFLOW,,20210724,"3,689",,CFS
DTO,D,23,OUTFLOW,,20210725,"3,378",,CFS
DTO,D,23,OUTFLOW,,20210726,"3,407",,CFS
DTO,D,23,OUTFLOW,,20210727,"3,414",,CFS
DTO,D,23,OUTFLOW,,20210728,"3,696",,CFS
DTO,D,23,OUTFLOW,,20210729,"2,775",,CFS
DTO,D,23,OUTFLOW,,20210730,"3,056",,CFS
DTO,D,23,OUTFLOW,,20210731,"3,026",,CFS
DTO,D,23,OUTFLOW,,20210801,"3,010",,CFS
DTO,D,23,OUTFLOW,,20210802,"3,121",,CFS
DTO,D,23,OUTFLOW,,20210803,"3,451",,CFS
DTO,D,23,OUTFLOW,,20210804,"3,093",,CFS
DTO,D,23,OUTFLOW,,20210805,"2,813",,CFS
DTO,D,23,OUTFLOW,,20210806,"3,473",,CFS
DTO,D,23,OUTFLOW,,20210807,"3,793",,CFS
DTO,D,23,OUTFLOW,,20210808,"3,076",,CFS
DTO,D,23,OUTFLOW,,20210809,"3,747",,CFS
DTO,D,23,OUTFLOW,,20210810,"3,649",,CFS
DTO,D,23,OUTFLOW,,20210811,"3,511",,CFS
DTO,D,23,OUTFLOW,,20210812,"3,276",,CFS
DTO,D,23,OUTFLOW,,20210813,"3,368",,CFS
DTO,D,23,OUTFLOW,,20210814,"3,464",,CFS
DTO,D,23,OUTFLOW,,20210815,"3,453",,CFS
DTO,D,23,OUTFLOW,,20210816,"3,393",,CFS
DTO,D,23,OUTFLOW,,20210817,"3,582",,CFS
DTO,D,23,OUTFLOW,,20210818,"3,797",,CFS
DTO,D,23,OUTFLOW,,20210819,"4,020",,CFS
DTO,D,23,OUTFLOW,,20210820,"4,026",,CFS
DTO,D,23,OUTFLOW,,20210821,"3,855",,CFS
DTO,D,23,OUTFLOW,,20210822,"3,687",,CFS
DTO,D,23,OUTFLOW,,20210823,"3,885",,CFS
DTO,D,23,OUTFLOW,,20210824,"3,560",,CFS
DTO,D,23,OUTFLOW,,20210825,"3,692",,CFS
DTO,D,23,OUTFLOW,,20210826,"3,608",,CFS
DTO,D,23,OUTFLOW,,20210827,"4,115",,CFS
DTO,D,23,OUTFLOW,,20210828,"3,718",,CFS
DTO,D,23,OUTFLOW,,20210829,"3,486",,CFS
DTO,D,23,OUTFLOW,,20210830,"3,602",,CFS
DTO,D,23,OUTFLOW,,20210831,"3,574",,CFS
DTO,D,23,OUTFLOW,,20210901,"2,726",,CFS
DTO,D,23,OUTFLOW,,20210902,"-4,245",,CFS
DTO,D,23,OUTFLOW,,20210903,"3,263",,CFS
DTO,D,23,OUTFLOW,,20210904,"3,261",,CFS
DTO,D,23,OUTFLOW,,20210905,"3,423",,CFS
DTO,D,23,OUTFLOW,,20210906,"3,556",,CFS
DTO,D,23,OUTFLOW,,20210907,"3,731",,CFS
DTO,D,23,OUTFLOW,,20210908,"3,367",,CFS
