Year,Month,Outflow,Export,X2
2018,Oct,5005.709677419355,7957.193548387097,83.84483870967742
2018,Nov,7894.5,4073,84.86466666666666
2019,Dec,10077.41935483871,7718.903225806452,79.62870967741935
2019,Jan,32308.774193548386,6045.967741935484,71.94967741935484
2019,Feb,81926.89285714286,8489.107142857143,60.004285714285714
2019,Mar,120729.93548387097,7635.354838709677,50.24354838709677
2019,Apr,85681.56666666667,3194.3,50.444
2019,May,50116.74193548387,2839.5806451612902,55.56645161290322
2019,Jun,32967.03333333333,9737.133333333333,59.23166666666667
2019,Jul,7633.677419354839,11193.741935483871,72.62161290322581
2019,Aug,11687.064516129032,9527.645161290322,76.40709677419355
2019,Sep,12471.733333333334,10202.866666666667,74.60966666666667
2019,Oct,13226.645161290322,2804.7096774193546,73.7941935483871
2019,Nov,6787.633333333333,4889.633333333333,77.68233333333333
