YearAdj,Region,SVIndex,YearType,Drought,Temperature,Salinity,Secchi
1979,North,6.67,Below Normal,N,15.333333333333332,0.07646206883410425,64.16666666666666
1980,Suisun Marsh,9.04,Above Normal,N,NA,NA,NA
1980,Suisun Bay,9.04,Above Normal,N,15.949710868606703,4.338375460927107,31.737731481481482
1980,Confluence,9.04,Above Normal,N,16.315693036368586,0.3045290488034728,44.09537070674779
1980,SouthCentral,9.04,Above Normal,N,16.456956146493688,0.12824477571590126,43.44180779374278
1980,North,9.04,Above Normal,N,15.083333333333334,0.07308164715681884,70.5
1981,Suisun Marsh,6.21,Dry,N,16.492145833333332,5.613347940888335,30.135416666666664
1981,Suisun Bay,6.21,Dry,N,16.408809873675175,8.148087922253424,43.05016793551276
1981,Confluence,6.21,Dry,N,17.176442089016888,1.0031331893333923,41.71730732141916
1981,SouthCentral,6.21,Dry,N,17.892908489298648,0.20713502977893897,52.86957458064438
1981,North,6.21,Dry,N,16.291666666666668,0.08616789651696535,64.79166666666666
1982,Suisun Marsh,12.76,Wet,W,15.018145833333332,0.8647793589872211,21.833901515151517
1982,Suisun Bay,12.76,Wet,W,15.284959233257915,1.7373507581795251,29.55440043776813
1982,Confluence,12.76,Wet,W,15.946235445366042,0.10232965931188126,45.72254714385755
1982,SouthCentral,12.76,Wet,W,16.241742581090406,0.13260487089898268,48.897718109503
1982,North,12.76,Wet,W,14.041666666666668,0.06347128265070087,54.125
1983,Suisun Marsh,15.29,Wet,W,NA,0.32127104423536834,24.761904761904763
1983,Suisun Bay,15.29,Wet,W,16.00916666666667,0.5396419733270654,32.74512691570881
1983,Confluence,15.29,Wet,W,15.942866469949804,0.08404058286435098,47.20713607380274
1983,SouthCentral,15.29,Wet,W,15.972318876047325,0.10005100397652489,42.85402877773568
1983,North,15.29,Wet,W,13.833333333333332,0.052079196578506064,47.166666666666664
1984,Suisun Marsh,10,Wet,W,15.712916666666667,1.9100360623123915,25.165277777777778
1984,Suisun Bay,10,Wet,W,16.428470045280392,4.199718857797907,39.925618760471814
1984,Confluence,10,Wet,W,16.76225922651563,0.23875585844775604,57.16411811760277
1984,SouthCentral,10,Wet,W,16.8869,0.1546308098086623,49.84861111111111
1984,North,10,Wet,W,14.5,0.07057750025588826,60.5
1985,Suisun Marsh,6.47,Dry,N,NA,NA,NA
1985,Suisun Bay,6.47,Dry,N,15.804933714865255,7.821359092160381,56.02401960784314
1985,Confluence,6.47,Dry,N,16.168259393634884,0.8657411691546014,64.92995708820334
1985,SouthCentral,6.47,Dry,N,16.83956099864188,0.2069758640708388,66.0342320261438
1985,North,6.47,Dry,N,15.5,0.07854674600811791,83.04166666666666
1986,Suisun Marsh,9.96,Wet,N,NA,NA,NA
1986,Suisun Bay,9.96,Wet,N,15.915802827121794,4.848211022224927,39.20525192400193
1986,Confluence,9.96,Wet,N,16.40351622922805,0.5180112705460149,42.655024932977824
1986,SouthCentral,9.96,Wet,N,16.87585588023088,0.16950516952493264,52.20649421384716
1986,North,9.96,Wet,N,15.583333333333332,0.07509880286302253,63.83333333333333
1987,Suisun Marsh,5.86,Dry,D,NA,NA,NA
1987,Suisun Bay,5.86,Dry,D,16.680708839975384,9.546932099562383,52.48475776674306
1987,Confluence,5.86,Dry,D,17.00774429893838,1.424789988357965,57.34328884809109
1987,SouthCentral,5.86,Dry,D,17.5548315736551,0.24050841712439977,67.87201034259859
1987,North,5.86,Dry,D,16.416666666666668,0.08172273862158397,80
1988,Suisun Marsh,4.65,Critical,D,NA,NA,NA
1988,Suisun Bay,4.65,Critical,D,16.638604476878474,10.73414074662865,42.84376673217133
1988,Confluence,4.65,Critical,D,16.959649729291176,1.7320805569471558,49.866137637016124
1988,SouthCentral,4.65,Critical,D,17.622019512350395,0.294710401930118,66.19034780578897
1988,North,4.65,Critical,D,16.666666666666668,0.08698192770930582,93.95833333333333
1989,Suisun Marsh,6.13,Dry,D,NA,NA,NA
1989,Suisun Bay,6.13,Dry,D,16.084610177404294,8.284376891400939,39.52220206264324
1989,Confluence,6.13,Dry,D,16.558453155993174,1.3299400396206575,52.81970378125931
1989,SouthCentral,6.13,Dry,D,17.17663999943412,0.23412851689036235,72.20590251252015
1989,North,6.13,Dry,D,15.458333333333332,0.07799469973572871,79.33333333333333
1990,Suisun Marsh,4.81,Critical,D,NA,NA,NA
1990,Suisun Bay,4.81,Critical,D,16.700166821669377,10.529321044299037,47.53950055386745
1990,Confluence,4.81,Critical,D,17.113183504343713,1.6843386851811286,59.64707904138009
1990,SouthCentral,4.81,Critical,D,17.54871838129191,0.2510186431217897,76.68999554367201
1990,North,4.81,Critical,D,16.291666666666668,0.07734772343097299,98.58333333333333
1991,Suisun Marsh,4.21,Critical,D,15.42013888888889,6.983602056149777,46.638888888888886
1991,Suisun Bay,4.21,Critical,D,15.7377706786944,10.708585480982347,45.99260939705586
1991,Confluence,4.21,Critical,D,16.26147493749159,2.077015982601165,60.54676059760314
1991,SouthCentral,4.21,Critical,D,17.005989718614718,0.24817618934130803,76.66641865079364
1991,North,4.21,Critical,D,16.158333333333335,0.08893112011534272,92.59791666666666
1992,Suisun Marsh,4.06,Critical,D,16.60612847222222,5.846162279260957,50.91701388888889
1992,Suisun Bay,4.06,Critical,D,16.885640305364568,9.470962221779844,52.34058356676004
1992,Confluence,4.06,Critical,D,17.40040326536996,1.8445475400494025,64.97170266147909
1992,SouthCentral,4.06,Critical,D,18.03626511814012,0.24844603108946056,79.62120943058443
1992,North,4.06,Critical,D,16.997916666666665,0.08787072560265279,98.05
1993,Suisun Marsh,8.54,Above Normal,N,16.02777777777778,2.608231866445545,35.083333333333336
1993,Suisun Bay,8.54,Above Normal,N,15.923321702244117,5.028770238750309,41.04034935371142
1993,Confluence,8.54,Above Normal,N,16.174863082281526,0.6549503248770407,52.539008835313325
1993,SouthCentral,8.54,Above Normal,N,16.988043981481482,0.1696061705558591,63.54779583842083
1993,North,8.54,Above Normal,N,15.341666666666667,0.07117351287416082,69.91666666666667
1994,Suisun Marsh,5.02,Critical,N,15.297870370370369,4.494196678891713,38.93055555555556
1994,Suisun Bay,5.02,Critical,N,15.411050893550895,8.605033131657365,46.066079322975874
1994,Confluence,5.02,Critical,N,16.06632256154494,1.1921752070258504,66.80476531523047
1994,SouthCentral,5.02,Critical,N,16.93198517917268,0.23795836037767126,87.47286949161949
1994,North,5.02,Critical,N,16.00125,0.09021986562503523,116.9
1995,Suisun Marsh,12.89,Wet,W,15.498333333333335,1.7342663193366756,34.65277777777778
1995,Suisun Bay,12.89,Wet,W,15.794254233650264,3.389504137768334,38.5617739458697
1995,Confluence,12.89,Wet,W,15.922155096497482,0.5236350409386932,58.24350958147753
1995,SouthCentral,12.89,Wet,W,16.36694726800977,0.18981005118581087,63.17539618276461
1995,North,12.89,Wet,W,14.216666666666665,0.05634176596707405,62.49305555555556
1996,Suisun Marsh,10.26,Wet,W,17.101006944444443,2.5345296798330197,29.882638888888888
1996,Suisun Bay,10.26,Wet,W,16.587971264367816,4.109305985750965,38.143773946360156
1996,Confluence,10.26,Wet,W,16.94541178749238,0.373645041601189,59.819481190267254
1996,SouthCentral,10.26,Wet,W,18.072680352055354,0.1464042243322745,80.65472374847376
1996,North,10.26,Wet,W,15.927083333333332,0.06484251132071413,82.79166666666666
1997,Suisun Marsh,10.82,Wet,W,17.600333333333335,3.3051441015931142,31.200000000000003
1997,Suisun Bay,10.82,Wet,W,17.033570881226055,5.216012248356067,39.538061029009306
1997,Confluence,10.82,Wet,W,17.087131308663817,0.5198629256370968,52.51059440687924
1997,SouthCentral,10.82,Wet,W,18.15071286121286,0.1404187941210104,65.52909544159544
1997,North,10.82,Wet,W,16.329166666666666,0.07091383632211952,66.1875
1998,Suisun Marsh,13.31,Wet,W,16.29861111111111,1.0717735745437786,21.484343434343437
1998,Suisun Bay,13.31,Wet,W,16.221101988688194,2.342006553372051,32.0694330414158
1998,Confluence,13.31,Wet,W,15.978053905834042,0.21134468425473402,50.26870512108999
1998,SouthCentral,13.31,Wet,W,16.61900593891403,0.11860258973266818,55.5676219205631
1998,North,13.31,Wet,W,14.379166666666666,0.06356488118013168,59.833333333333336
1999,Suisun Marsh,9.8,Wet,W,14.7821875,2.5220430809473906,25.59861111111111
1999,Suisun Bay,9.8,Wet,W,14.7424256923029,4.259973363975225,35.17388250319285
1999,Confluence,9.8,Wet,W,15.15450912575092,0.582754424988521,54.02851727186183
1999,SouthCentral,9.8,Wet,W,15.911388972683092,0.13899131886082955,67.21758421317244
1999,North,9.8,Wet,W,14.474583333333333,0.06308747479784399,73.91666666666666
2000,Suisun Marsh,8.94,Above Normal,W,16.592708333333334,3.699901923974234,31.12777777777778
2000,Suisun Bay,8.94,Above Normal,W,16.11699609345654,5.634376017175336,35.82317028343905
2000,Confluence,8.94,Above Normal,W,16.344979440789473,0.6759299431909811,59.28718020599122
2000,SouthCentral,8.94,Above Normal,W,17.354777840623427,0.16218512073602764,83.99932755153344
2000,North,8.94,Above Normal,W,15.148333333333333,0.06939201892591222,96.64583333333333
2001,Suisun Marsh,5.76,Dry,D,16.505416666666665,5.468588643000338,38.32083333333333
2001,Suisun Bay,5.76,Dry,D,16.172743568691846,9.203224940553952,41.21904077723043
2001,Confluence,5.76,Dry,D,16.569434732243916,1.4870079564107002,50.231288509434734
2001,SouthCentral,5.76,Dry,D,17.596217006033182,0.22120001173802645,69.72836852689794
2001,North,5.76,Dry,D,16.470833333333335,0.08854603084365875,77.8125
2002,Suisun Marsh,6.35,Dry,D,16.49975,4.2513026440193995,30.66875
2002,Suisun Bay,6.35,Dry,D,16.099067688378035,7.341212943037887,38.37946998722861
2002,Confluence,6.35,Dry,D,16.26958825072989,0.9359528388406635,46.7560996508365
2002,SouthCentral,6.35,Dry,D,17.319364316239316,0.21490549966856873,75.61433485495985
2002,North,6.35,Dry,D,16.445,0.0810086074111756,92.77083333333333
