Date,Outflow,X2
2021-03-05,7627,79.00215654967985
2021-03-06,6894,79.1092311474675
2021-03-07,7485,79.157300220799
2021-03-08,7256,79.22279186213966
2021-03-09,7155,79.29373377787351
2021-03-10,8435,79.25448989583278
2021-03-11,9222,79.15979800126938
2021-03-12,11092,78.95107944803259
2021-03-13,12303,78.68692368569216
2021-03-14,12308,78.43703408895443
2021-03-15,10051,78.33171202512875
2021-03-16,7444,78.42609179979652
2021-03-17,7261,78.53135504934976
2021-03-18,7375,78.62076839098066
2021-03-19,11139,78.43896582420928
2021-03-20,12553,78.18998512851526
2021-03-21,12664,77.94901301538957
2021-03-22,13195,77.69476852983826
2021-03-23,13599,77.43503139068874
2021-03-24,11227,77.31336250862655
2021-03-25,9305,77.31964631735897
2021-03-26,8342,77.39613700405114
2021-03-27,8167,77.48211244866822
2021-03-28,7783,77.59446062971413
2021-03-29,7418,77.73164878036786
2021-03-30,7073,77.89204745787902
2021-03-31,7097,78.0414366123203
2021-04-01,7358,78.15928580058545
2021-04-02,7181,78.28637809550995
2021-04-03,7136,78.41053995114258
2021-04-04,7285,78.5145275039001
2021-04-05,7136,78.62614114207128
2021-04-06,7155,78.72989884740889
2021-04-07,7392,78.80690537894007
2021-04-08,6952,78.91930836486218
2021-04-09,7258,78.99771157952819
2021-04-10,7106,79.08547076556516
2021-04-11,7287,79.1521598531757
2021-04-12,7208,79.22222048640815
2021-04-13,7157,79.29301333705857
2021-04-14,7260,79.3506848485393
2021-04-15,7354,79.39687655070229
2021-04-16,6958,79.47627400131366
2021-04-17,6821,79.56414688158857
2021-04-18,7484,79.587281873984
2021-04-19,6691,79.68147620948416
2021-04-20,5931,79.84835379492495
2021-04-21,6236,79.97366895581358
2021-04-22,6284,80.0871399689847
2021-04-23,5763,80.25026277337307
2021-04-24,5931,80.38585709779997
2021-04-25,5715,80.53795181637553
2021-04-26,5768,80.67571991718005
2021-04-27,5648,80.81948792061408
2021-04-28,5468,80.97626509671326
2021-04-29,5721,81.09520973006647
2021-04-30,5320,81.25454259769008
2021-05-01,4167,81.56286520963714
2021-05-02,3768,81.91923072354939
2021-05-03,4027,82.21306535052791
2021-05-04,3963,82.50108496068793
2021-05-05,3529,82.84816727186882
2021-05-06,3232,83.23293417133954
2021-05-07,2959,83.65353022872199
2021-05-08,3683,83.90964411020502
2021-05-09,4013,84.09625504361952
2021-05-10,4073,84.26301828842256
2021-05-11,5676,84.20629125340936
2021-05-12,5612,84.160007270548
2021-05-13,5551,84.12332685562536
2021-05-14,5756,84.06524427087754
2021-05-15,6065,83.97658642864302
2021-05-16,6228,83.87567780107418
2021-05-17,5385,83.87424237476333
2021-05-18,5769,83.82840254272058
2021-05-19,5549,83.81019310707228
2021-05-20,5422,83.80793728998877
2021-05-21,6244,83.71464741508089
2021-05-22,5769,83.67758530582067
2021-05-23,5674,83.65328467811975
2021-05-24,6056,83.58824363734952
2021-05-25,6080,83.52422561491673
2021-05-26,5846,83.48907415410746
2021-05-27,5367,83.51106419343971
2021-05-28,4883,83.59287850379003
2021-05-29,4629,83.70469074825755
2021-05-30,4021,83.90128799039935
2021-05-31,3708,84.13940637914983
2021-06-01,3206,84.45837127700364
2021-06-02,2355,84.9590103714201
2021-06-03,2302,85.44681419120215
2021-06-04,2220,85.93121253767794
2021-06-05,2325,86.35912491071062
2021-06-06,2907,86.61923027837891
2021-06-07,2564,86.9461115160689
2021-06-08,2632,87.23811027177646
2021-06-09,3174,87.39312471319195
2021-06-10,3392,87.49671501455597
2021-06-11,4260,87.44746361488964
2021-06-12,3915,87.45546097944288
2021-06-13,3906,87.46450478625214
2021-06-14,3675,87.5124193533424
2021-06-15,3566,87.57714263805447
2021-06-16,3537,87.64357945901692
2021-06-17,3500,87.71315340682213
2021-06-18,3007,87.87694556186143
2021-06-19,2937,88.04694038747964
2021-06-20,3055,88.1821469900899
2021-06-21,3475,88.2267291047618
2021-06-22,3290,88.30418870374828
2021-06-23,3656,88.30926812488123
2021-06-24,3681,88.30966720746956
2021-06-25,3583,88.32747050731572
2021-06-26,3534,88.35318727674445
2021-06-27,3825,88.3263890260024
2021-06-28,3479,88.3622948940246
2021-06-29,3300,88.43033844625482
2021-06-30,2823,88.59546275590633
2021-07-01,2747,88.76912947777309
2021-07-02,2064,89.11785404307122
2021-07-03,3043,89.19670206754569
2021-07-04,2711,89.34581986118849
2021-07-05,2848,89.45489881118043
2021-07-06,3461,89.43208659841513
2021-07-07,3493,89.4045855386591
2021-07-08,3874,89.31173998447119
2021-07-09,4140,89.18111477807848
2021-07-10,3798,89.11335523916786
2021-07-11,3649,89.07516816619038
2021-07-12,3459,89.07361443133455
2021-07-13,3740,89.02170556513902
2021-07-14,3298,89.05387304056062
2021-07-15,3367,89.07089950926068
2021-07-16,3006,89.16023042856627
2021-07-17,3157,89.21299645172138
2021-07-18,3154,89.26347431534428
2021-07-19,3389,89.26476680513916
2021-07-20,3476,89.24961901617266
2021-07-21,3496,89.23159926285112
2021-07-22,3599,89.19581889742143
2021-07-23,3766,89.13271482864612
2021-07-24,3689,89.0864223427483
2021-07-25,3378,89.0995522214327
2021-07-26,3407,89.10643948663846
2021-07-27,3414,89.1116224654234
2021-07-28,3687,89.06684027420481
2021-07-29,2776,89.20779931945249
2021-07-30,3056,89.27894732557587
2021-07-31,3026,89.35255313314637
2021-08-01,3010,89.42553433187527
2021-08-02,3121,89.47111510961676
2021-08-03,3451,89.44927962412139
2021-08-04,3093,89.49937430374997
2021-08-05,2813,89.60799332531407
2021-08-06,3473,89.57452567963868
2021-08-07,3793,89.4859792801595
2021-08-08,3076,89.53761474536131
2021-08-09,3747,89.45897828273596
2021-08-10,3649,89.40178194236223
2021-08-11,3511,89.37262829211733
2021-08-12,3276,89.38981736702844
2021-08-13,3368,89.3881751246772
2021-08-14,3464,89.36847318028548
2021-08-15,3453,89.35190884336413
2021-08-16,3393,89.3475756576868
2021-08-17,3582,89.30847425680416
2021-08-18,3797,89.23388000473305
2021-08-19,4020,89.12653246353612
2021-08-20,4026,89.02412588122986
2021-08-21,3855,88.95538070115279
2021-08-22,3687,88.9191918069691
2021-08-23,3885,88.85121180618117
2021-08-24,3560,88.84338900985554
2021-08-25,3692,88.81248447778327
2021-08-26,3608,88.79814250307564
2021-08-27,4115,88.69967671399816
2021-08-28,3718,88.67214443858511
2021-08-29,3486,88.68773567627802
2021-08-30,3602,88.68132971956774
2021-08-31,3574,88.68031577186326
2021-09-01,2726,88.85427146323228
2021-09-02,-4245,NA
2021-09-03,3263,NA
2021-09-04,3261,NA
2021-09-05,3423,NA
2021-09-06,3556,NA
2021-09-07,3731,NA
2021-09-08,3367,NA
2021-09-09,3257,NA
2021-09-10,-4313,NA
2021-09-11,-3951,NA
2021-09-12,-3847,NA
2021-09-13,-3730,NA
2021-09-14,-3756,NA
2021-09-15,3048,NA
2021-09-16,2735,NA
2021-09-17,2963,NA
2021-09-18,2773,NA
2021-09-19,2576,NA
2021-09-20,3072,NA
2021-09-21,2803,NA
2021-09-22,2777,NA
2021-09-23,2346,NA
2021-09-24,2258,NA
2021-09-25,2410,NA
2021-09-26,2240,NA
2021-09-27,2058,NA
2021-09-28,2064,NA
2021-09-29,3448,NA
2021-09-30,3951,NA
2021-10-01,3765,NA
2021-10-02,3230,NA
2021-10-03,3227,NA
2021-10-04,3326,NA
2021-10-05,3517,NA
2021-10-06,3240,NA
2021-10-07,3973,NA
2021-10-08,3768,NA
2021-10-09,3718,NA
2021-10-10,3734,NA
2021-10-11,3443,NA
2021-10-12,3605,NA
2021-10-13,3776,NA
2021-10-14,3615,NA
2021-10-15,4063,NA
2021-10-16,3703,NA
2021-10-17,4456,NA
2021-10-18,4300,NA
2021-10-19,5635,NA
2021-10-20,6376,NA
2021-10-21,6089,NA
2021-10-22,6679,NA
2021-10-23,8487,NA
2021-10-24,7847,NA
2021-10-25,35976,NA
2021-10-26,60476,NA
2021-10-27,61599,NA
2021-10-28,58810,NA
2021-10-29,51384,NA
2021-10-30,20954,NA
2021-10-31,10168,NA
